title,description,priority,tags
Frequent voltage drops,"A case of frequent voltage drops has emerged behind the hospital, disrupting daily activities.",low,['electricity']
Frequent theft reports,"A case of frequent theft reports has emerged at the community center, disrupting daily activities.",low,"['infrastructure', 'public safety', 'health']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem in the market area.,medium,"['transport', 'public safety', 'signal']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem in the residential colony.,medium,"['transport', 'public safety', 'signal']"
Street in darkness,Authorities are yet to act on the street in darkness problem in the market area.,high,"['infrastructure', 'streetlight']"
Damaged wall,There has been a persistent issue with damaged wall in the residential colony. Residents are concerned.,low,['infrastructure']
Signal blocked by trees,"A case of signal blocked by trees has emerged outside Building 14, disrupting daily activities.",medium,"['transport', 'public safety', 'signal']"
Flickering light,Authorities are yet to act on the flickering light problem behind the hospital.,medium,"['infrastructure', 'public safety', 'streetlight']"
Street in darkness,Citizens have complained about street in darkness near the lake. It has been ignored for days.,high,"['infrastructure', 'streetlight']"
Bad smell from drains,Citizens have complained about bad smell from drains near Sector 5. It has been ignored for days.,low,['sanitation']
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem behind the hospital.,low,"['health', 'sanitation', 'environment']"
Power outage,Citizens have complained about power outage in the residential colony. It has been ignored for days.,high,"['electricity', 'public safety']"
Sparking transformer,The area at the bus depot is suffering due to sparking transformer. Immediate attention is needed.,high,"['electricity', 'infrastructure', 'public safety']"
Faded zebra crossing,"Faded zebra crossing reported behind the hospital, causing inconvenience and safety concerns.",low,"['transport', 'road']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight near Sector 5. Residents are concerned.,medium,"['public safety', 'streetlight']"
Polluted water body,"A case of polluted water body has emerged behind the hospital, disrupting daily activities.",low,"['health', 'environment']"
Signal blocked by trees,The area outside the railway station is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['public safety', 'signal']"
Open sewage,"A case of open sewage has emerged in the market area, disrupting daily activities.",high,['sanitation']
Malfunctioning traffic signal,The area by the school gate is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Waste dumped on street,"Waste dumped on street reported in the residential colony, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
Damaged wall,Citizens have complained about damaged wall outside the railway station. It has been ignored for days.,low,"['infrastructure', 'public safety', 'environment']"
Pipe leakage,There has been a persistent issue with pipe leakage near the lake. Residents are concerned.,low,"['sanitation', 'water']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal in the residential colony. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Damaged bus stop,Citizens have complained about damaged bus stop outside Building 14. It has been ignored for days.,low,['transport']
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem outside Building 14.,low,['environment']
Polluted water body,The area behind the hospital is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Non-functional streetlight,Citizens have complained about non-functional streetlight in the market area. It has been ignored for days.,medium,['streetlight']
Broken classroom windows,"Broken classroom windows reported outside Building 14, causing inconvenience and safety concerns.",low,"['infrastructure', 'health', 'education']"
Non-functional streetlight,Authorities are yet to act on the non-functional streetlight problem in the market area.,medium,"['infrastructure', 'streetlight']"
Sparking transformer,"A case of sparking transformer has emerged by the school gate, disrupting daily activities.",high,"['electricity', 'infrastructure', 'public safety']"
Pipe leakage,There has been a persistent issue with pipe leakage outside the railway station. Residents are concerned.,low,['water']
Mosquito breeding site,"Mosquito breeding site reported at the community center, causing inconvenience and safety concerns.",low,['health']
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem outside Building 14.,medium,['signal']
Damaged bus stop,There has been a persistent issue with damaged bus stop at the bus depot. Residents are concerned.,low,['transport']
Open sewage,"A case of open sewage has emerged at the bus depot, disrupting daily activities.",high,"['health', 'sanitation', 'environment']"
Uncollected garbage,There has been a persistent issue with uncollected garbage outside Building 14. Residents are concerned.,medium,['garbage']
Non-functional streetlight,There has been a persistent issue with non-functional streetlight near Sector 5. Residents are concerned.,medium,"['public safety', 'streetlight']"
Missing bus route board,Citizens have complained about missing bus route board by the school gate. It has been ignored for days.,low,['transport']
Mosquito breeding site,"Mosquito breeding site reported near the lake, causing inconvenience and safety concerns.",low,"['health', 'sanitation']"
